timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2016-09-25T11:15:00Z,"Кировский район, г Астрахань, ул Коммунистическая, 68",2016-09-25,Столкновение,Ясно,Сухое,Светлое время суток,2,6,0,5,48.046025,46.361715
2016-09-25T21:50:00Z,"Ленинский район, г Астрахань, ул Автозаправочная, 14",2016-09-25,Наезд на велосипедиста,Ясно,Пыльное,"В темное время суток, освещение отсутствует",2,2,0,1,48.105745,46.406717
2016-09-24T08:10:00Z,Камызякский район,2016-09-24,Иной вид ДТП,Пасмурно,Сухое,Светлое время суток,1,1,0,1,48.078139,46.07766
2016-09-24T20:50:00Z,"Ахтубинский район, с Капустин Яр, ул Советская, 141",2016-09-24,Столкновение,Дождь,Мокрое,"В темное время суток, освещение отсутствует",2,2,0,1,45.761133,48.572311
2016-09-24T19:00:00Z,"Харабалинский район, г Харабали, ул Интернациональная, 1",2016-09-24,Наезд на пешехода,Дождь,Мокрое,"В темное время суток, освещение отсутствует",1,2,0,1,47.246515,47.404704
2016-09-24T04:10:00Z,Икрянинский район,2016-09-24,Опрокидывание,Пасмурно,Сухое,"В темное время суток, освещение отсутствует",1,1,1,0,47.694226,45.786846
2016-09-24T20:30:00Z,Икрянинский район,2016-09-24,Опрокидывание,Пасмурно,Мокрое,"В темное время суток, освещение отсутствует",1,1,0,1,47.694226,45.786846
2016-09-24T14:20:00Z,"Советский район, г Астрахань, ул Моздокская, 3",2016-09-24,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.03776,46.329204
2016-09-23T17:10:00Z,"Советский район, г Астрахань, ул Звездная, 5",2016-09-23,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.046132,46.325445
2016-09-23T20:44:00Z,"Приволжский район, с Осыпной Бугор, ул Астраханская, 78",2016-09-23,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,2,1,0,48.055933,46.284505
2016-09-23T20:44:00Z,"Приволжский район, с Осыпной Бугор, ул Астраханская, 78",2016-09-23,Наезд на пешехода,Температура ниже -30С,Сухое,"В темное время суток, освещение отсутствует",1,2,1,0,48.055933,46.284505
2016-09-23T19:50:00Z,"Советский район, г Астрахань, ул Боевая, 134 к.4",2016-09-23,Столкновение,Пасмурно,Сухое,Светлое время суток,2,2,0,1,48.020602,46.312492
2016-09-23T20:20:00Z,"Икрянинский район, с Икряное, ул 1 Мая, 40",2016-09-23,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,3,0,2,47.73333,46.098974
2016-09-23T06:30:00Z,"Кировский район, г Астрахань, ул Красная Набережная, 207",2016-09-23,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.059886,46.341281
2016-10-20T14:30:00Z,Володарский район,2016-10-20,Съезд с дороги,Ясно,Сухое,Светлое время суток,1,2,0,1,42.985096,56.328289
2016-10-20T17:30:00Z,"Кировский район, г Астрахань, ул Коммунистическая, 25",2016-10-20,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.043231,46.354842
2016-10-19T03:00:00Z,"Приволжский район, с Карагали, ул Мостовая, 2",2016-10-19,Наезд на препятствие,Ясно,Сухое,"В темное время суток, освещение включено",1,2,0,1,47.988209,46.264833
2016-10-19T18:24:00Z,"Советский район, г Астрахань, ул Богдана Хмельницкого, 1 а",2016-10-19,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение включено",1,3,0,2,48.010505,46.330069
2016-10-19T20:30:00Z,Лиманский район,2016-10-19,Наезд на стоящее ТС,Пасмурно,Сухое,"В темное время суток, освещение отсутствует",2,3,0,1,47.336984,45.839287
2016-10-19T09:50:00Z,Приволжский район,2016-10-19,Столкновение,Ясно,Сухое,Светлое время суток,2,3,0,1,41.397288,57.339991
2016-10-19T13:15:00Z,"Советский район, г Астрахань, ул Генерала Епишева, 23",2016-10-19,Наезд на пешехода,Пасмурно,Сухое,Светлое время суток,1,2,0,1,48.017261,46.337902
2016-10-19T12:20:00Z,"Наримановский район, г Нариманов, ул Астраханская, 9",2016-10-19,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,47.855106,46.68645
2016-10-19T19:40:00Z,"Кировский район, г Астрахань, ул Началовское шоссе, 2 а",2016-10-19,Наезд на препятствие,Ясно,Пыльное,"В темное время суток, освещение включено",1,2,0,1,48.091866,46.348012
2016-10-18T08:50:00Z,"Кировский район, г Астрахань, ул Набережная 1 Мая, 84",2016-10-18,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.03352,46.344547
2016-10-18T11:00:00Z,"Наримановский район, с Старокучергановка, ул Ленина, 40",2016-10-18,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,2,47.963487,46.324822
